family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,source
CIFAR-10 ResNet32,Label-Sorted,CA2FL,10,58.056,3.754802791093028,60.519,1.613774767431935,1.1941083520507814,0.14048991237744918,1.1125258746337892,0.04779682223486734,added_baselines
CIFAR-10 ResNet32,Label-Sorted,AsyncSGD constant,10,86.802,0.2774815309169241,86.98400000000001,0.27059933481071513,0.4327401403808594,0.0053646148794722955,0.420761858215332,0.006178277104345324,added_baselines
CIFAR-10 ResNet32,Dirichlet,AsyncSAM+RMS,10,89.50099999999999,0.46676439452897345,89.744,0.3263495058982003,0.3484175540161133,0.013451226084166469,0.339829027709961,0.012958719251557286,cifar10_resnet32
CIFAR-10 ResNet32,Dirichlet,AsyncSGD,10,86.539,0.45304414795911674,86.694,0.4406404429917881,0.4381843249511719,0.014132398334506148,0.4309731176757812,0.012344362293407596,cifar10_resnet32
CIFAR-10 ResNet32,Dirichlet,FedAsync,10,86.513,0.4449730328907615,86.717,0.43125514489684585,0.4385927084350586,0.013529604057176438,0.42950562225341793,0.014043935874094523,cifar10_resnet32
CIFAR-10 ResNet32,Dirichlet,FedBuff,10,83.724,0.94656431371566,84.677,0.7017271549541172,0.4937159927368165,0.027874754161274405,0.4607425631713868,0.021250437006071505,cifar10_resnet32
CIFAR-10 ResNet32,Dirichlet,FADAS,10,82.972,1.0763902637984037,84.25699999999999,0.5620685011633371,0.5180192300415039,0.03067078206866755,0.47255696685791015,0.017486676402112787,added_baselines
CIFAR-10 ResNet32,Dirichlet,CA2FL,10,54.737,3.4477733394177745,59.136,1.1485138222938376,1.311945450439453,0.1266816362008392,1.1473737927246095,0.035869382600182576,added_baselines
CIFAR-10 ResNet32,Dirichlet,AsyncSGD constant,10,86.506,0.44844620636147586,86.654,0.41243666180397026,0.43937656188964846,0.009763698765194161,0.43113397277832033,0.009399355500499938,added_baselines
CIFAR-10 ResNet32,High Delay,AsyncSAM+RMS,10,89.823,0.26309884074240786,89.95,0.29996666481460993,0.3414385855102539,0.009654593750886028,0.33346488647460937,0.00756934294631101,cifar10_resnet32
CIFAR-10 ResNet32,High Delay,AsyncSGD,10,87.10999999999999,0.16751119365582606,87.299,0.20151674868357733,0.4265323458862305,0.010790165629040895,0.4152519979858398,0.010735469285163005,cifar10_resnet32
CIFAR-10 ResNet32,High Delay,FedAsync,10,87.016,0.32376534712658744,87.17299999999999,0.32701834810908864,0.4317122064208984,0.009546264755328122,0.4197120062255859,0.00786639407019901,cifar10_resnet32
CIFAR-10 ResNet32,High Delay,FedBuff,10,84.10400000000001,1.3283839806321074,85.44900000000001,0.48923307328920396,0.48258604736328115,0.04482949659920558,0.4368129147338867,0.014881052499264852,cifar10_resnet32
CIFAR-10 ResNet32,High Delay,FADAS,10,83.084,1.1987259903747798,84.431,0.3531982446162511,0.512720432434082,0.036686977265144076,0.4660520611572266,0.01103118998432137,added_baselines
CIFAR-10 ResNet32,High Delay,CA2FL,10,58.338,2.458592280147321,59.741,1.5144665727575513,1.1859739697265625,0.07944094092666973,1.128455283203125,0.03966826272307399,added_baselines
CIFAR-10 ResNet32,High Delay,AsyncSGD constant,10,87.097,0.2571011474108977,87.254,0.27302747114530274,0.43015211700439454,0.011762852609626138,0.4175638540649414,0.008219391648881922,added_baselines
CIFAR-10 ResNet56,Base IID,AsyncSAM+RMS,10,90.638,0.2832948993540137,90.75699999999999,0.28670716768159044,0.32931077819824217,0.01247066880348697,0.31773470306396484,0.011086130740254722,cifar10_resnet56
CIFAR-10 ResNet56,Base IID,AsyncSGD,10,87.834,0.2970925781637765,87.981,0.34711525463453813,0.41814393798828126,0.009430158751419594,0.39878012298583987,0.007918477594482998,cifar10_resnet56
CIFAR-10 ResNet56,Base IID,FedAsync,10,87.95500000000001,0.26462237244798653,88.08700000000002,0.20789660891895498,0.4188989712524414,0.004162345015639241,0.399849651184082,0.003446166824365688,cifar10_resnet56
CIFAR-10 ResNet56,Base IID,FedBuff,10,84.845,0.9577917310146324,86.167,0.3384390639391367,0.46009059814453124,0.027797510982740855,0.41656019012451173,0.010346496080571175,cifar10_resnet56
CIFAR-10 ResNet56,Base IID,FADAS,10,82.57,1.2525494002234012,84.152,0.6149601613112822,0.5256461730957032,0.03797706773342286,0.4749459033203125,0.014346626485031887,added_baselines
