family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,missing_seeds
CIFAR-100 ResNet32,Base IID,CA2FL,10,22.377,1.385402829504834,24.49,0.9424860741676768,3.23236763671875,0.09131869833059385,3.1094044921875,0.056316989303071614,
CIFAR-100 ResNet32,Base IID,AsyncSGD constant,10,56.849000000000004,0.6459636212667088,57.054,0.5629067418320713,1.6041102514648438,0.026416280309474207,1.5968092700195313,0.02285818177372206,
CIFAR-100 ResNet32,Label-Sorted,FADAS,10,52.822,1.0847746309717974,53.786,0.998220416541357,1.7582553564453125,0.0487152666102646,1.7161368591308594,0.04010542878164992,
CIFAR-100 ResNet32,Label-Sorted,CA2FL,10,22.575,1.2172448397918965,23.968,0.9459365729265353,3.222730322265625,0.11592745744587353,3.1256806884765624,0.039628429165394746,
CIFAR-100 ResNet32,Label-Sorted,AsyncSGD constant,10,55.485,0.8979003285443214,56.0,0.7532463076577278,1.65835640625,0.03762367059733529,1.6363026904296876,0.024146276470754714,
CIFAR-100 ResNet32,Dirichlet,FADAS,10,52.741,1.4017164477882114,53.481,0.7623181750424156,1.7607151794433593,0.06684470400315716,1.7166710009765627,0.035480865052244404,
CIFAR-100 ResNet32,Dirichlet,CA2FL,10,22.907,1.3709999999999996,24.163,0.9302155664145811,3.1991311010742187,0.08484798199297407,3.10222232421875,0.04967066832047942,
CIFAR-100 ResNet32,Dirichlet,AsyncSGD constant,10,54.993,1.1058756711312527,55.92,0.5755519090403572,1.6756231030273439,0.04641939561885698,1.6347003686523438,0.02577325763815497,
CIFAR-100 ResNet32,High Delay,FADAS,10,52.722,1.2059170784096227,53.425,0.7172203287693382,1.7793492651367189,0.05384775430716046,1.7250644213867188,0.025141104626023317,
CIFAR-100 ResNet32,High Delay,CA2FL,10,22.552,1.1758384242743558,24.181,0.7515377568692073,3.213849296875,0.06695100316042693,3.1136586572265625,0.04108238254140791,
CIFAR-100 ResNet32,High Delay,AsyncSGD constant,10,56.666,0.9538050115196517,56.938,0.9678822242401186,1.6091753686523438,0.03945770192044204,1.602629130859375,0.04032885735622017,
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,FADAS,10,63.094,0.7235634042708348,64.56,0.6835495592859376,1.3898920227050782,0.03302757353813603,1.3321077917480468,0.022832987900051584,
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,CA2FL,10,57.204,1.1251950941947813,58.435,0.5460814957494885,1.6241410571289063,0.04297986472049088,1.5743042199707031,0.01681546479493384,
CIFAR-100 ResNet18 300e RA+RE+LS,Base IID,AsyncSGD constant,10,73.941,0.24671643642043548,74.154,0.2557420575501799,1.1751472039794921,0.00945374668911772,1.1672518255615234,0.008541179969891139,
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,FADAS,10,62.652,0.48527930102158523,64.458,0.6208993477207095,1.4077365393066406,0.019236395002324234,1.3388755786132813,0.021514863832053067,
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,CA2FL,10,57.113,0.9293228717727758,58.708,0.5515940536300237,1.623068670654297,0.036272565344881304,1.5601378356933593,0.019730351753411535,
CIFAR-100 ResNet18 300e RA+RE+LS,Label-Sorted,AsyncSGD constant,10,74.475,0.23580712457430186,74.685,0.22137072977247832,1.1564357250976562,0.009145447104420345,1.1514779193115234,0.009755516763962115,
CIFAR-100 ResNet18 300e RA+RE+LS,Dirichlet,FADAS,10,63.054,1.0543832320366238,64.45400000000001,0.7260468304455308,1.3974549438476562,0.04176417453019167,1.3413083728027344,0.02849920338206794,
CIFAR-100 ResNet18 300e RA+RE+LS,Dirichlet,CA2FL,10,57.158,1.526321067141511,58.49,0.8698390655747763,1.6308380822753905,0.0671696192285317,1.5677147631835937,0.034918924641362446,
CIFAR-100 ResNet18 300e RA+RE+LS,Dirichlet,AsyncSGD constant,10,74.19800000000001,0.23510848559760728,74.374,0.23715817506466386,1.1676784771728517,0.010866753407575862,1.1619803582763673,0.009583362243447009,
CIFAR-100 ResNet18 300e RA+RE+LS,High Delay,FADAS,10,63.143,0.8297837067573715,64.475,0.7491895621269686,1.3923806079101562,0.033657376242607964,1.336622322998047,0.02724642983480801,
CIFAR-100 ResNet18 300e RA+RE+LS,High Delay,CA2FL,10,56.669,0.8582709362433288,58.464,0.8834387358498583,1.6432163293457032,0.033592275628420515,1.5707916552734376,0.03340591107069641,
CIFAR-100 ResNet18 300e RA+RE+LS,High Delay,AsyncSGD constant,10,74.051,0.3180707468472995,74.251,0.2404766100892159,1.1762761767578125,0.012384265097345606,1.1685420867919922,0.008974781545660475,
CIFAR-100 ResNeXt29-8x16d 200e,Base IID,FADAS,10,66.08500000000001,1.082453232246086,67.871,1.0097469980148484,1.2727008642578124,0.0452508171903199,1.2006012048339842,0.03310449644484549,
CIFAR-100 ResNeXt29-8x16d 200e,Base IID,CA2FL,10,34.085,2.5594384149652827,35.961,0.9469894402790355,2.6548108496093747,0.115142467424966,2.5786349853515627,0.048507283293121733,
CIFAR-100 ResNeXt29-8x16d 200e,Base IID,AsyncSGD constant,10,71.313,0.4523063121381348,71.444,0.44728514395182223,1.1411518347167968,0.014291257757371525,1.1335529028320313,0.014264715668883179,
CIFAR-100 ResNeXt29-8x16d 200e,Label-Sorted,FADAS,10,66.524,1.167297734085008,67.58,1.0510185535945593,1.259196719970703,0.04447116324530948,1.2111409912109374,0.03678251298427554,
CIFAR-100 ResNeXt29-8x16d 200e,Label-Sorted,CA2FL,10,34.565,1.525773574289449,35.927,0.911307302725046,2.6345652294921873,0.07491325342511011,2.5736837744140626,0.04403417705872869,
CIFAR-100 ResNeXt29-8x16d 200e,Label-Sorted,AsyncSGD constant,10,70.907,0.45159827280448955,71.08500000000001,0.3999562476071609,1.1526259838867188,0.015648687453800672,1.1490009399414063,0.014727091422211914,
CIFAR-100 ResNeXt29-8x16d 200e,Dirichlet,FADAS,10,66.003,1.1104778250825151,67.871,0.9206785541110455,1.274192109375,0.045233724393456555,1.1977600634765624,0.036855303844915525,
CIFAR-100 ResNeXt29-8x16d 200e,Dirichlet,CA2FL,10,34.373,1.670646880702203,35.899,0.5404895928692798,2.6390959741210938,0.08209959587829231,2.5770895288085938,0.01717183635608551,
CIFAR-100 ResNeXt29-8x16d 200e,Dirichlet,AsyncSGD constant,10,71.046,0.3855697083537539,71.267,0.3777313860403987,1.1479869592285157,0.010441825609865884,1.1417128405761718,0.00915273694915016,
CIFAR-100 ResNeXt29-8x16d 200e,High Delay,FADAS,10,66.158,1.5460646816999593,67.597,1.1219362727000142,1.2689731665039061,0.06589618062514689,1.2169465124511718,0.04079345897898263,
CIFAR-100 ResNeXt29-8x16d 200e,High Delay,CA2FL,10,34.117,1.6205804515666602,36.009,0.7507656092283396,2.65919740234375,0.07849178430852184,2.5808406298828124,0.031095324970867536,
